source,name,primary_language,all_languages,classification,antipatterns,last_activity,stars_or_commits,forks,description
github:hyperpolymath,pow-the-game,Nickel,"Just Nickel Shell Gleam Rust Lua Idris Scheme",MIGRATE,UNVERIFIED_RUST,2026-07-16T20:39:59Z,2,0,"Distributed proof-of-work and problem solving via Steam Workshop/API and other gaming platform networks"
github:hyperpolymath,ambientops,Elixir,"Just Scheme Shell Nickel Haskell Zig Idris ReScript Dockerfile JavaScript Elixir Tree-sitter Query Rust Ada Nix Batchfile Elvish Nushell PowerShell Xonsh Julia C Swift Makefile Tcl CSS SaltStack HCL HTML CMake QML C++ Logtalk D Gleam",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA NIX_PRESENT,2026-07-16T20:25:37Z,2,0,"Cross-platform system tools for everyday users - trustworthy help without fearware"
github:hyperpolymath,the-nash-equilibrium,Shell,"Dockerfile Shell Scheme Nickel Just Idris Zig Python JavaScript HTML CSS",MIGRATE,NIF_WITHOUT_SNIF DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-16T18:18:11Z,2,0,"6X strategy game — co-developed by Jonathan & Joshua"
github:hyperpolymath,bgp-backbone-lab,Nickel,"Nickel Haskell Zig Shell Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-16T17:14:08Z,2,0,"BGP backbone lab — network simulation and testing environment for BGP routing"
github:hyperpolymath,thunderbird-template-reloaded,Idris,"Shell Just Nickel Zig Scheme TypeScript Idris",MIGRATE,DIRECT_FFI_NO_HEXADECA,2026-07-16T17:04:15Z,2,0,"Thunderbird email template management - reloaded"
github:hyperpolymath,stapeln,Elixir,"Scheme Shell Nickel Zig Idris HTML TypeScript CSS Just Elixir JavaScript Dockerfile Rust PHP Standard ML TeX Alloy",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-16T16:36:06Z,2,0,"Visual drag-and-drop container stack designer with Paragon & Cisco-style interfaces. WCAG 2.3 AAA accessible. Built with ReScript-TEA  Elixir  Idris2  and Tauri."
github:hyperpolymath,network-dashboard,Nickel,"Elixir Shell Nickel Just Scheme Haskell",DONE,NONE,2026-07-16T16:34:12Z,2,0,"Network monitoring dashboard — real-time visibility into network health and metrics"
github:hyperpolymath,awesome-idris2,Idris,"Just Idris Nix Scheme Shell",MIGRATE,NIX_PRESENT,2026-07-16T16:25:22Z,1,0,"Awesome Idris 2 resources"
github:hyperpolymath,reasonably-good-token-vault,Rust,"Scheme Shell Just Dockerfile Nickel Rust",CLEAN,UNVERIFIED_RUST,2026-07-16T13:54:20Z,2,0,"Post-quantum secure identity vault for SSH keys  API tokens  PGP keys  and digital credentials. Like PGP  but for tokens. And reasonably good."
github:hyperpolymath,squisher-corpus,Elixir,"Scheme Elixir Nickel Gleam Erlang Shell Just",DONE,NONE,2026-07-16T13:03:27Z,2,0,"Empirical schema corpus for protocol-squisher — crawls GitHub for real-world schemas  analyses them  and mines compatibility patterns."
github:hyperpolymath,tree-navigator,Ada,"Just Ada Shell Nickel Zig Scheme",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-16T13:02:40Z,2,0,"A powerful  type-safe directory tree export and navigation tool written in Ada 2022"
github:hyperpolymath,tangle,Rust,"Scheme OCaml Rust Dune Standard ML Shell Nickel Zig Just Lean HTML",CLEAN,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-16T13:02:18Z,2,0,"Tangle — topological programming language"
github:hyperpolymath,supernorma,Shell,"Scheme Just PowerShell CSS HTML Shell",MIGRATE,DENO_NOT_BUN,2026-07-16T13:01:49Z,2,0,"Personal Finances for the Future - as it SHOULD be."
github:hyperpolymath,januskey,Rust,"Just Rust Shell Scheme Idris Zig C Nickel",CLEAN,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-16T13:01:45Z,2,0,"Provably reversible file operations through maximal principle reduction - data loss architecturally impossible"
github:hyperpolymath,verisimdb,Rust,"Rust Elixir Julia ReScript Shell Nickel JavaScript Cypher SurrealQL Dockerfile Idris Zig HTML Just CSS Rocq Prover",MIGRATE,UNVERIFIED_RUST DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-16T13:01:08Z,2,0,"VERIdical SIMulation DataBase — 8-dimensional octad storage with provenance  lineage  temporal versioning  and formal verification"
